,POS_Tweet,class
4604,lol find redneck oakleaf take,2
4605,tell tweet youre twat,1
4606,maam clear tweet brand race traitor nerve thinking,2
4607,cnnpolitics opinion plz election improvement still allowed trash,2
4608,nigger,1
4609,world dont spank monkey monkey spanks,2
4610,got hoes different area codes,1
4611,roll bitch dey,1
4612,tims pussy,1
4613,hey nig,1
4614,bag pink n white coloured van sweets please dude,2
4615,thats thought pussy,1
4616,whats youtube channel faggot,0
4617,youre fucking relevant get followers follow trains unfollow people youre faggot,1
4618,nigger,1
4619,bitch slap assholewith chair,1
4620,just saw black skit vile funny fan anymore,1
4621,okay shit hoe,1
4622,yall gots take da colored vacation fried chicken da white meat,2
4623,fazerain wouldnt proud faze family horrible hes ugly trailer trash,0
4624,bitch stupid hive hive,1
4625,chillasstweets bitch,1
4626,real shit light armor bitch find tho,1
4627,bitch hella cheese tweets right said lactose intolerant got ta c,1
4628,yes said spitted bitch,1
4629,bitch,1
4630,hoe cookie crisp cop case,1
4631,got ta phone avi texting got negative bitches,1
4632,dont mom bitch ass nigga u better shut fucking mouth duck ass,1
4633,going talk shit least back fight bitch ass nigga swear u niggas fake pussy boy,1
4634,lmfao im still pulling hoes suppose effect suppose hurt felling fuck boy,1
4635,woulda coulda shoulda ass niggas bitch ass nigga u bout oh ban wagging ass nigga catch phase,0
4636,talkinfgalot shit cant back dem words tho bitch ass nigga u talking fighting,1
4637,yeah youre gon play retards na drugs day,2
4638,bitches need guidance,1
4639,photshopped instead faggot impressedgt gay,1
4640,cheers last nights game,2
4641,hunterxsfob think hes retarded somethin,1
4642,dancingxburrito come show celebrate retard,1
4643,faggot,0
4644,yeah hoe,1
4645,think anyone mocking man seen people mock bespectacle social media mourning cultural zeitgeist,2
4646,love much maybe bitchier birds,1
4647,getting new pussy sharing,1
4648,seeing ppl saying running train bird parry thing das knowso looking clarity,2
4649,thought think cuteyou know shut clam minutes,2
4650,wya bitch,1
4651,redneck crazy,2
4652,believe evolved whatnot find hard believe came apes,2
4653,pulled pocket man tedcruz mocked wackobirds comment,2
4654,deep pussy tongue need halp,1
4655,faggot,0
4656,supposed hang w week nigger,1
4657,doubt cause bitch aint nothing nigga downfall,1
4658,great thing bitches offer,1
4659,celebrityke said aint tricking hoesllsfoolish,1
4660,bad bitch open mouth,1
4661,trying get job age real bitch let alone new career work years homeless,1
4662,cunt fuck balls tits cocksucker piss dick kike cant take swearing dont go god damn internet,1
4663,finna get leg dne amp hands catch hoe,1
4664,good fag boy,1
4665,okay closet fag,0
4666,remember time wus seen said aint wan niggers wearing ish,1
4667,cunt,1
4668,bitch u lame fuk lol,1
4669,yea ion sprouts barely cordon wanted try something dif get tired nigger foods,1
4670,reason god make parasitic worms sole purpose burrow eye small child,2
4671,lol u knw dem project bitches dem light brown roaches call dem water bugs,1
4672,dude said get commitment crow taste more proof full,2
4673,sure lmao pussy,1
4674,doedat funny da girl,1
4675,chad reeds fag hes th kinda guy,1
4676,ya fag,0
4677,bright neon yellow gauntlet,2
4678,fucking many hoes,1
4679,retard mikey special boxing,0
4680,ylla lol thats basically got many hoes curve,1
4681,height yeah bitch,1
4682,called basic bitch sure feel,1
4683,retarded always retarded,1
4684,little bitch,1
4685,follow u sexy bitch,1
4686,lebron bitch,1
4687,guys pussies,1
4688,bird ground still alive cant believe,2
4689,know youre calling fag,1
4690,shiddd add turn bitch lmao,1
4691,literally confront bitch asses reall,1
4692,das calld usen yo brain retard whoop yo ass n front da police,0
4693,guarantee things youre white youve never anywhere real ghetto relative pig,0
4694,photoshop nig,1
4695,bitchk,1
4696,guns bad bitch,1
4697,damn got called hoe,1
4698,get sum bitch,1
4699,remember african bitch used work,1
4700,right bitches damn hope get job still livin ya momma ass hoe,1
4701,hey,2
4702,tee billy goat hillbillies sucking fucking disgraceful brazzen faced unabashed pig,1
4703,tee believe aint christian slave brainwash black spooks miss white man devil,0
4704,tee end day call yo dumb ass monkey pickananny hoe u luv white devils,0
4705,tee words accustomed niggers muchyour next u yo nigger,1
4706,tee convince u lame nigger liver believes cuz nigger whore,0
4707,dont give flying fuck teabagger piece human garbage thinks,0
4708,teabagger scum wants threaten people penis extender danger country,0
4709,hahahah reals bitch crazy lol,1
4710,wedlock births lie latinos nd place mostly driven illegal aliens w anchor babies,2
4711,did crushed got bitch dreams,1
4712,medal hate fags wont kill medal u privilege let fags live,0
4713,ignore sorry called bitch uncalled,1
4714,got ta turn hoe housewife,1
4715,ur imposter idol looks nothing described envious bitch,1
4716,mock done simulator check pick team many rounds go,2
4717,colored lebanese,2
4718,shame selfhating jews chosen people,0
4719,call house nigger shes racist hypocrisy statement,0
4720,bitch dont cant bitch,1
4721,facts bitches good lol,1
4722,sure slant plagiarists idea,2
4723,fuckin want tired bullshit faggot ass closet racist wannabecommunewithoutrailroad stategt,0
4724,honestly retarded stuck artist hoping fair dealermanager situation,2
4725,u bitch boy,1
4726,texted u fag,1
4727,thats lil middle locked bitch,1
4728,nigga bitch man,1
4729,made endearing names nigger spook amp monkey,1
4730,pulling bitches,1
4731,bad little bitch,1
4732,mhmm tweet bird,2
4733,lets weekend hoe,1
4734,pimping guys park playing bitch volleyball,1
4735,happen faggot complemented today golf several times,1
4736,faggot,0
4737,hii fag,1
4738,biggest faggot world,0
4739,hoe,1
4740,realjameswoods just call someone nigger theyre black act,0
4741,careful try queer ya,1
4742,toddstarnes oh see part giant govt take eh joke representative teabagger,1
4743,bullshiti guess poor moneytax money movers rate working peopleyou teabaggers traitors,1
4744,didnt propose brilliant idea college students packing heat savant teabaggers,1
4745,hes friggin idiot say anything redneck teabagger constituants buy love stupid people,0
4746,hey turd cutterstop tweeting juvenile shit do teabagger,1
4747,stockboy talk tweet lies childish shit unqualified appeal dumb rednecks,1
4748,teabagger dunces want eliminate education together groom teabag voters lol,1
4749,lazy redneck back work governing twitter lying bullshit,1
4750,much knob gobble day head blockhead,1
4751,white conservative teabaggers make world go round rulersstockboy,2
4752,teaparty anti american teabaggers stop forcing ur religion rest u dont prayliar,2
4753,tedcruz ted cruzleaderlol lol lol lol lol lol lol lol lol lol funny ass rednecklol lol lol lol,1
4754,friggin pussy parent,1
4755,lyin cheatin scoundrels fucking chicken shit pussy,1
4756,stockboyeveryone mocks,2
4757,bush took times many vacations republican teabaggers pusseswah,1
4758,pay taxes teabaggers,2
4759,havent evolved human meathead redneck pity dont know freedom,2
4760,decisionthis right mong,2
4761,tf get bitch stat,1
4762,bye youre queer,0
4763,boots get bitches,1
4764,mikeray retard,1
4765,ever fav fuckin cunt,1
4766,people bitch lose hour sleep today evens get daylight,1
4767,joke right youre ugh wish jap tweeting gook shit jerkin hentai,0
4768,looks lesssquintyeyed mikelreparaz,2
4769,mother looks toughasnails birdi see got food,2
4770,bitch need read rules guidelines aint cunt,1
4771,pussy,1
4772,tortillas trash,2
4773,yes hoe always camera,1
4774,cheffincurry bitch look shamu go back seaword,1
4775,eat dat chicken love box baby white woman eatin chicken colored mans dream,2
4776,hoes twatchin right nie dey need uh answer,1
4777,room temp cus sensitive bitch teeth,1
4778,youtube bear vs monkey bike race,2
4779,bitch trying turn shit,1
4780,abouta get crayons animal crackers pm,2
4781,highly upset dat des bitches tryanna clown media sight bitch aint going,1
4782,going show bitches done,1
4783,theyre goooood want savoury salty cheesy cracker,2
4784,johans free agent harveys hurt retard valverde,1
4785,yea listen hoe wake,1
4786,come see anyone named swagner obviously pussy,1
4787,thanks ya fucking hoser,1
4788,happy whoa oh whoa ho helloweenorg,2
4789,birds birds,2
4790,u see lame pic ofmine due infatuation niggers fite children satan streets,0
4791,bitch,1
4792,fuck tranny looking damn ass nigga,0
4793,say hoe sparked many blunt left,1
4794,girl thats hos need dont care,1
4795,thats thought pussy,1
4796,ur blind bitch video way skinnier,1
4797,redskins liberal amp support changing name transcends standard political grandstanding,2
4798,send teabagger friends watch heads explode,2
4799,less little nigger grow big nigger,0
4800,bitch answer calls,1
4801,bitch smd,1
4802,crackers leave parched asf,2
4803,britneyspears mickey mouse ears hatand tail matter,2
4804,feel way amp u worked prison upgrade,2
4805,oreo,2
4806,trash,2
4807,well blood get pass time wont tell wop lyric situation,2
4808,bitch bouta,1
4809,im coolin know ole shit different day nig,1
4810,jordangrimes kushdaddycorr lmao pussy,1
4811,lets go right bitch knocked last time lets fight right,1
4812,morphing never cease disturbing,2
4813,killed hoe,1
4814,lmaoooo know eating overseas pussy,1
4815,lmaooooo bro still got shit hoe boxing come back nigga,1
4816,hoe rolling,1
4817,got hoe,1
4818,pushed stepped back lolol pussy shit,1
4819,so cunt welcome twitter,1
4820,therealraw gay bad fuck even bitch bad cant cheat dimefoh lol,1
4821,lsarsour thats resist worthless retard dictionary,1
4822,wannabe ghetto white girl deal unaccomplished black man sex,1
4823,know bitch dont going nomo,1
4824,thegreatest truth hurts nigguh,1
4825,knowing fag,0
4826,decide make gladiola gorgeous rustcolored ones coming,2
4827,idc still get pussy,1
4828,lol imma look bitch ass wan,1
4829,say wrong stupid hoes showing get attention bigger game,1
4830,imma stop talking vibing headphonestalk come get pussy words,1
4831,cuz whole team trash,2
4832,truuuu bitches dont respect shit talkin lol,1
4833,faggot,0
4834,nips pierced,1
4835,protrill fuck em right pussy,1
4836,hes trash,1
4837,dumb nigger,1
4838,yellow paris effort last stage grabs,2
4839,hoes hoes nothing something guys dispose,1
4840,add name ghetto used label maker lol,2
4841,werent gung ho got drafted instead shitting seem hawk,1
4842,im beautiful bitch,1
4843,hoes fun,1
4844,aint shit aint shitbitch meant,1
4845,nah bitch new jack city,1
4846,shut bitch,1
4847,shit trash,1
4848,lil ricky stole tried flex bitch avi,1
4849,definitely retarded,1
4850,moors used give kids free lunch kid see still good,2
4851,drinking bitch beer badass kuzie,1
4852,ericmariners elchavaloko lol naw bitch sociopath,1
4853,bet hands humanitarian vote commie bitch,1
4854,got thanks ima text u,2
4855,dis hoe get lmfaoooo,1
4856,asked bitch,1
4857,low blow cuntface many times yanks beat last years,1
4858,bitch please not gon happen,1
4859,fuck bitches hope beat em week thejournalist,1
4860,fuck bitches,1
4861,thank hate poison face first wall yankees missed playoffs,1
4862,happened year lost game playoff bitches bitch ass twin bitches,1
4863,probably took point isnt says hoes,1
4864,get bitches right,1
4865,bitch ass nigga heres new belt,1
4866,nick background nigger,1
4867,bitch,1
4868,pussy,1
4869,fuckin pussy haha,1
4870,didnt even catch pussy,1
4871,gook,2
4872,love hoe,1
4873,miguepantoja trash,2
4874,kdawgg aahahah fuck watches trash,1
4875,thanks little bitch,1
4876,already know juss ordered weekend tha white hoes,1
4877,bitch ask day,1
4878,bitch options,1
4879,bring bitches,1
4880,lol youre retarded,1
4881,need get outta bitch meridian bad long getting paper good,1
4882,movie right literally gon slap bitch scream shit,1
4883,dont think hes far trash actually put,2
4884,father born attended love cooking,2
4885,call bitch see dont slap sexy mom bring,1
4886,sorry spell check error ho hey sorry,2
4887,mrastonishing bitch,1
4888,bitch,1
4889,trolls annoying dont concern twats amp life lol ignore x,1
4890,stopbeingfamous birds wedlock rate white fathers running away,0
4891,trash talking way fair thats ball texts,2
4892,well ado get da fock ya lil bitch,1
4893,nickscott faggot scoon wan ball,1
4894,stfu trash,1
4895,pull trigger bitch,1
4896,youre little bitch,0
4897,liked day bird got classroom,2
4898,birds school,2
4899,rebel next youll ripping mattress tags slippery slope,2
4900,cause tip hand instead whine little bitchesgt,1
4901,nope btw yous hoe lol,1
4902,oh well turns baby aint mine jig,2
4903,yesterday twitter telling dudes pussy best faith,1
4904,looked funny like saying good economy faggot,1
4905,toddkincannon realbrother pussy,1
4906,chansdav haha dirtylove sexxy bitch,1
4907,u mad tho successful man hut hugging faggot,0
4908,got ta u bad bitch u aint bad bitch,1
4909,therealemandm boooooooo trash,2
4910,favor ball throw trash,2
4911,lol tan line retarded tweet subtweet,1
4912,real quiet son made shit steelers,1
4913,like ur domes,2
4914,version pulledpork clams babyjesus lilsmokey,2
4915,pitch chip slide ur dick tight clam love mywife,1
4916,early bearded man gets clam,2
4917,wyattnuckels grizzboadams haha little shit talkier brought bitch,1
4918,bitch go shoot balls paint hobby finding ass,1
4919,bitch voice recognition much faster typing,1
4920,fucking fat bitch considered threesome,1
4921,loved swear love right bitch better googling lyrics lt,1
4922,true bitch accounts poniesforever,1
4923,also flip bitch gabbys,1
4924,know hoe,1
4925,hes asshole neck problems amp cant sleep way u lil bitch,1
4926,bitches uggo fuck,1
4927,hoe ass savage shit brings memories cook g,1
4928,birds big peckers always mad cause get laid thats mother,1
4929,winchstrracin wyattw call back dont answer anymore still crows,2
4930,ta get superbowl shirt cleaners hitting big bird,2
4931,now beaners drive em,1
4932,best fuss basement bitch skating rink,1
4933,faggots,0
4934,thirsty hoes,1
4935,type put river gtf locations lol,1
4936,people give bad name disgusting piece shit person nigger,0
4937,dude fucking mono sucks bed trash,1
4938,thats nate dumbass mock,1
4939,punk ass bitch,1
4940,payback bitch hahaha lt happy valentines day,1
4941,good fucking bitch ass,1
4942,gon chase club mobb deep pussy,1
4943,explains cause bitch whine,1
4944,lmao dumb hoe budden made popular please stop irrelevant cares slut,1
4945,pot gold ass nigguh,1
4946,catyou pussy black bored kid kills cop starting firewhere is,1
4947,word bird,2
4948,think reconsider hes little bitch true almighty soul seany,1
4949,quit pussy call first last name poon,1
4950,subtweeting using hashtag oomf whats difference jk jerkin yo dick ya nigger faggot,1
4951,help others cant handle uppers cripples moderation isnt taken consideration itll bad,2
4952,steamedgreens hoes clean,2
4953,lrishgiri izzyjsmom iambord asideofbacon celebrity bitches,1
4954,gator bait,2
4955,aint welcome straight trash,2
4956,problem love bad bitches,1
4957,halfassed youre vegetarian pussy,1
4958,bitch,1
4959,shethetruththo bitch yo ass reacting vain females tweet amp dont context dumb ass dont,1
4960,shethetruththo say shit face bitch gettin man u dont know business yo shit,0
4961,stop covering goddamn face silly ass co signing pussy,1
4962,shit euros call typical american fat fuck goes eat fast food time dumb bitch,1
4963,pussy,1
4964,fuck pussy,1
4965,rather ask nappy headed hoe grandma well ashamed family,1
4966,headed hoes cant call anyone ugly stop embarrassing pls,1
4967,fucking annoying hoe omg relationship goals close legs get dressed something,1
4968,pussy guns bitch spic daddy doesnt even respect sperm drop moms stank pussy,0
4969,yankees floridians,2
4970,bitch yass,1
4971,momma saw girls danced shake ass hoe,1
4972,u dog dont show hoe love u ya ol lady,1
4973,yal bitches need stock jello fix broke ass personalities,1
4974,rip plate brownies large tea fries beans potato salad poboy,2
4975,hipster friends ugly fuck yo pussies stank,1
4976,bench,2
4977,psvch halfassed coming rescue retard licking dirty skidmarks internet guys fucktards,0
4978,fgcubasketball rather ultra fag get go,1
4979,vcortesusmc little punk send ass weeks bitch come home amp,1
4980,taylor wack ass bitch nigga,1
4981,vegeta little bitch,1
4982,hoe,1
4983,yankees games radio good announcers,2
4984,yankees fans look back time team,2
4985,mets fan tried telling isnt best yankees time closer,2
4986,glads dis colored man cans soyvice fo da white man,1
4987,yellow sorry,2
4988,yay im whitey,2
4989,got pennant race,2
4990,dywanwii scotja drinking much shitty hoser beer,1
4991,expect nothing less dominion way bitches,1
4992,nog even checken hoe het ging maar zon heftige wond niet verwacht heftig amp beterschap hoor,1
4993,ill scream iubb hoosiers creanandcrimson,2
4994,bitch,1
4995,cjcisalive titles revenue great redneck conference,2
4996,queer,1
4997,hey fag gag clappmeat,1
4998,tounge punching smelly turtle pussy,1
4999,bitch lol,1
5000,fuck look shopping trash ass store,1
5001,pussy pussy pussy marijauna wannnnaaa,1
5002,lol feel punk bitch sittin lights,1
5003,republican teabaggers jailed treason,2
5004,faggot public spectacle gays fagspublic display gets public opinion,1
5005,bitches aint shit hoes tricks,1
5006,duckydynamo yeah internet def taught bitch cant twerk talkin voting,1
5007,thats actually nonenglish filthy white trash criminals,0
5008,didnt make games last season looked open st,2
5009,thought like cause yeah faggot,0
5010,fag got pressed ground hang cleats n never put think,2
5011,unfollowed think youre shit use follow trains gain unfollow cause youre pussy,1
5012,bitch brain damage,1
5013,bitch,1
5014,bitch fuck,1
5015,lmao take thru quavo cant shit make hooks offset da solid kno niccas tellin dat,1
5016,nuteila hoe,1
5017,bitch tweet answer,1
5018,ayyyyyyeeeeee back bitch,1
5019,mite hit know cell gone try hit hoe,1
5020,couldnt help man niggas pussy robbing chick shootin,1
5021,way raps fucking bitch amp banters money entertaining crazy,1
5022,swear des hoes making challenges,1
5023,tried pom pomegranate juices n swear tasted flavored pissdont ask lol,1
5024,shut yo hoe ass,1
5025,lol old bitches,1
5026,gonn comment cause closet hoes lol lol,1
5027,aight bet bitch,1
5028,nothing says fashion cunt hat,1
5029,bitch,1
5030,looks youre gon blow someone fag,1
5031,thisty hoe,1
5032,pickin white bitches bare chicken leg,1
5033,accident lmfao hoes trynna lowkey slick,1
5034,thus term redneck also mocked good youexcellent,1
5035,entire pats bandwagon faggots,0
5036,told u ugly niggas get bitches young promise u ya magic lol,1
5037,good job tonight need eat crackers soyoull stop throwing,2
5038,youre fucking loudmouth ignorant redneck fuck still tryin suck dick cant dumbfuckits short,1
5039,got bitch named banana pussy swear got ta say pussy bananas lil cool azz bitch da westside,1
5040,fuck pussy made mistake started cj spiller chris ivory week fuck,1
5041,xxjailynn shut bitch usta make,1
5042,bet hoe,1
5043,ion sneak diss broke bitches,1
5044,ah lien ass hoe,1
5045,hey leave get job slope move back id lose lots money buying tickets,2
5046,strippers sexy hoes follow mans,1
5047,bellakoval apmorales house bitch,1
5048,eat yo pickles bitches,1
5049,studies show youre faggot,0
5050,chocolatey yummy brownies,2
5051,whats puto isnt bitch spanish,1
5052,hisorraya mutha fuckahs better bring brownies ever,1
5053,dont ignore faggots c,1
5054,trash,2
5055,didnt teach call women bitch aint fortunate guess,1
5056,shut faggot make album together well fell didnt cont,1
5057,man bitches denial,1
5058,pissed males females pussy gone judge get mad deny loose gap,1
5059,kikes promoted creating film incentive promote enemies,2
5060,yungchipotle young based god stay fuckin bitches,1
5061,update pretty much broke made absolutely annoying retarded,1
5062,deeschronicles ie dont make hoe housewife,1
5063,bitch nigga u scared play,1
5064,cant give hillbillies audience squander time,1
5065,faggots drive stick,0
5066,lol bitch yo display name,1
5067,go jerk lollis faggot,0
5068,smh whats wrong wit u ho,1
5069,dont live guess still got roofs arent fixed,2
5070,dont fuck hoes ask,1
5071,didnt want fuck bitch lmao,1
5072,heavyweight dont matter still knock bitches,1
5073,hahamonkey feeti itbut realfeet magical backit smoothes nook cranny tightness,2
5074,shes cunt,0
5075,general feeling natives know regards term redskins offensive,1
5076,kill coons,0
5077,cunt needs hands cut,1
5078,dont raise ur hand niggah,1
5079,niggah niggah lol,1
5080,problem niggah,1
5081,good niggah lol,1
5082,wassup niggah,1
5083,now bird creatures,2
5084,call bitch,1
5085,eat shit working nappy bitch,1
5086,cant really sure weird little bird said possibility tuned maybe,2
5087,birds feather stand stand sanity,2
5088,everything writes trash,2
5089,say great pussy seen thats true idk,1
5090,make bitch,1
5091,better play ya nigger,0
5092,id chink left blue balls,1
5093,cold going around little hick town everyone know locked houses better week well,2
5094,slant orig statement said everything extreme comment made,2
5095,godly u fuckin redneck peckerwood,1
5096,yaaaasssss buhlowin timeline negro,1
5097,fuck store bitch,0
5098,mrgeology inferred tried ho dodged great leader,2
5099,peak war joins guard get outta bitch,1
5100,lol bitch nigga ima get gay homies,1
5101,bitch,1
5102,thats trash ot,1
5103,btw crow laws supported republican,2
5104,yes das def da problemif histeacher spear chucker woulda gt dose rite,2
5105,support illegals coming spreading disease bitch,0
5106,judge appointed obama doesnt see fucking crooked bitch,1
5107,hey dildo take trash,1
5108,msnbc said blocking flights africa racist yea right vote bitch gold digger,1
5109,second add ruined new low picking cripple,2
5110,says pedophile promoting dolt,1
5111,faggot,1
5112,whatd note say bitch heres flowers lt gets em everytime,1
5113,money cars clothes hoes want successful lol,1
5114,bullshit bitch,1
5115,look shit imma bitch forreal,1
5116,remind yall cuz hoes acting dont know,1
5117,much hoes,1
5118,steal bitch,1
5119,bitch looks good man pick,1
5120,faggot dont side state,0
5121,nigga spun pussy,1
5122,mentallity flaming fag serious mental issue,1
5123,fight bitch,1
5124,feel warm fuzzies,2
5125,according place kitchen take trash,2
5126,trash meant u lmaooo,2
5127,real shit bro yo hoe told straws fuck,1
5128,yu forgot beat yall thats garbage man calling janitor trash,2
5129,bitch coulda stores looking,1
5130,tranny dragons eh know people love,2
5131,whatchu doin today nig,1
5132,wud nig got ta new number text,1
5133,clairismony tease dick faggot,1
5134,bitch called missing dick,1
5135,fuck outta faggot wouldnt even fair,0
5136,lmaoo typical nig nog bombs shouldve got pics,1
5137,alysssa bitch please,1
5138,use word faggots,1
5139,bitch got fucked,1
5140,always hatin lmao,1
5141,cuz thought got wife picked hoe coming,1
5142,bestfrycook stfu bitch,1
5143,get half band dope female followers state much youd pay pussy,1
5144,thought retard,1
5145,hear dumb bitch said likes,1
5146,grizzboadams bitch want,1
5147,grizzboadams glad get daily dose giggles faggot,1
5148,grizzboadams hey faggot spell faggot right dipshit,1
5149,grizzboadams shut fuck fag ill beat shit outta,0
5150,mattpetrie yeah nigga get bitches fucking gay shit,1
5151,fake bitch meet school nigga,1
5152,cause ima shit outta niggah,1
5153,fuck bitch smd,1
5154,haha bitch,1
5155,insecure much put insults tweet fucking dumbass dude wreck faggot,0
5156,smokin smoke fuckin bitch wbu,1
5157,shut niglet,1
5158,sun follow bitch cant shit stfu faggot,1
5159,learn read bitch,1
5160,think bitch,1
5161,beanies steal description u arent salty fake,2
5162,probably right bitch spanish,1
5163,always want speak ppl converse twitter always look bitch life smh,1
5164,remembers dick lol wants recommend shoot bitch show snap,1
5165,bitches,1
5166,hate birds piss fact cant fly,2
5167,like tweeting wen yu aint talking yo hoes like ill wait,1
5168,tired dat bitch mannn,1
5169,great fold pressure gshit u blitz ass gon gook,1
5170,always white bitch something lol give zero fucks comes dick,1
5171,white bitch choppin whole line niggas,1
5172,ima miss smiley graham daniel tho pretty cool ima beat andrews bitch ass day,1
5173,haha say called bad bitch mean mean bitch lmfao,1
5174,quit using song lyrics queer,1
5175,janemba better yo pussy ass,1
5176,bitch til,1
5177,marines kick notch beat yankees,2
5178,only good thing season,2
5179,scores dont matter spring man,2
5180,fell asleep,2
5181,go already,2
5182,isnt kind saying wont make,2
5183,probably time put twitter feed bed,2
5184,team sucks,2
5185,pussy watch nuh mi lov mon badmon,1
5186,way hoes boo,1
5187,trash,2
5188,hate faggot corny,0
5189,mannn high school freshman hoes,1
5190,yeah people know hes trash game limited showed late games,2
5191,way take orders little bitch bitch,1
5192,home coon,2
5193,bitches better watch running tables tonight,1
5194,hey send songs need put hoes bang em ride,1
5195,want poms back lmfao,2
5196,born yellow,2
5197,agree never know begging get dropped makes pussy wet guaranteed married right,1
5198,hahaha made ya eat crow,2
5199,crazy rap pussy songs row,1
5200,lol girrrrl bitches crazzzzy,1
5201,got feelin aint dead ready call guala da truth,2
5202,nahh bitch yu always playn almost got feelings hurt,1
5203,fuck das wat bitches wit uh fuckd mouf,1
5204,sammylightning wish wood tree bitch,1
5205,wish wood tree bitch,1
5206,gay fags,0
5207,tree bitch,1
5208,bitch already got past demons herseeding gone fuse,1
5209,fucc yu,1
5210,send dat nicca clean n really,1
5211,said pussy dat ass yo tongue boy,1
5212,lol da reason cant talk da present cuz nicca hurt n aint played yr,1
5213,yearsahaitian start mcbob shoot let play bird,2
5214,everybody battled wore ancient hong kong shit different colored hitops,1
5215,lifestyles raw dog magnum put dickhead hole cumin pussy lips,1
5216,hoe meter went,1
5217,ill pay premium get away anything ass hoes,0
5218,bitch,1
5219,swear god log later posting score social network bitch ass nigga,1
5220,nah pussy wont,1
5221,sup fat bitch,1
5222,someone told cuz ppl use bitch females dont calles female meh shrugs,1
5223,sick bitch,1
5224,little girl gets trapped cave almost die injun dies find treasure,2
5225,take bitch recieve head mom,1
5226,fasho fasho ass nicca,1
5227,wow love called slut really wouldnt ever cheat girl bitches dumb,1
5228,thirsty hoes,1
5229,got cold white hoes tho dont right strip,1
5230,called people kikes lot fucks,1
5231,thirsty hoe,1
5232,pussy,1
5233,lol cracker,1
5234,garrettwinker pussy ashamed,1
5235,putting head fags proof,1
5236,fuck r talking told going tell u nigga love white bitch gtf bro,0
5237,got ta least drop bitches month intervals shit,1
5238,jus figure dem niccas together dat,1
5239,finger throbbing pussy flaps,1
5240,bitch tryna get free promoting n shit lmaooo see tha cut,1
5241,eat bitch,1
5242,meet eat bitch,1
5243,meet whoop yo bitch ass,1
5244,naw nigga whats em hands happened shit talking couple months ago eat bitch,1
5245,clear lake hoes,1
5246,supposed attract bitches tutu,1
5247,hes gon get dem bitches,1
5248,fags,0
5249,drunk texts never fail stfu coming come fuck bitch,1
5250,fag,0
5251,bitch,1
5252,lol bitch indian op,1
5253,well least youre going somthing dont bitch even wrong thing,1
5254,aw drake sit corner cry listen lmfao pussy dick rider drakes cock taste faggot,0
5255,cool cool fuck wit u nicca,1
5256,thirsty ass hoe go sleep,1
5257,bro u trash zombies,2
5258,happened going fishing bitch,1
5259,continues turn pussy lol,1
5260,hoe,1
5261,darwinjames point ppint bitch,1
5262,bitch died read,1
5263,bitch going,1
5264,lmfao bitch talking,1
5265,yess bitch,1
5266,bitch cant hold real nigga fa long bruh ask mama pay ticket fa,1
5267,fucking nasty got held wrong pussy telling bet ever kiss breaking w u,1
5268,skate trash skate goat,2
5269,ahh much bitch live campus get lazy wouldnt want drive home,1
5270,picture makes look serious fag lol,0
5271,lol possible hoe treat right way love right way hoe hoe,1
5272,lol think right way wrong way someone hoe love got,1
5273,seanlandez yalls little punk ass bitches doe,1
5274,look delivery bitch ahaha,1
5275,got tired hearing eat pussy ways damn,1
5276,tried always hit eat cant figure programs lol,2
5277,orr lor bae tho wyd u fucking hoe,1
5278,look said lls new era bye kill bitches w ampamp wht cousin,1
5279,said want mix track regardless video gon dumb retarded reg versi,1
5280,aint nobody got time fo dat ghetto black lady voice,1
5281,thats regular season losses retarded,1
5282,hoes lol,1
5283,swag bitch aha,1
5284,faggots old people people cant drive drunk people,0
5285,fuck redneck ass stuckup dont give damn lol campus acting shit,0
5286,youll make team niggas trash,0
5287,even sure bro ignoring hurt bitches tonightlol,1
5288,song ion kno referred future wife bitch,1
5289,bitches love target,1
5290,somebody looks die first tubes flappy bird lol,2
5291,mflury back ya queer bag,1
5292,got ta find know got hoes,1
5293,lmaooo boy thought type right spelling hoe,1
5294,bird gone run ass,1
5295,sad comparison try accurate monkey,2
5296,lil bro fuck,1
5297,niggah,1
5298,colored supposed good influence,1
5299,bitch,1
5300,theeepp thats bitch,1
5301,derrrrrrr st songs actually good compared trash shes such showman omg,2
5302,hoe,1
5303,stfu gon fuck oh pussy ads nigga,1
5304,jetlife bitch u steady talking stfu bout shit hoe ass nigga,1
5305,jetlife said stop putting words mouth thats something bitch,1
5306,dont got beef tell yo boy stop acting bitch bring duck ass,1
5307,markkelly rightwing teabaggers gun nuts hell even fucking cops,1
5308,nigger,1
5309,miss bitch,1
5310,says youre evil bitch,1
5311,fags,0
5312,kinda figured lil bit u said bitch u cute,1
5313,dying oh bitch exit mentions last era huge album tour golden globe cont,1
5314,bitch thick bitches ass tv want,1
5315,needs date grandma turnt lil pussy ass bro called lil baby names lame amp dork,1
5316,realest bitch rt,1
5317,dont send boxes droided da mile nigga da dro droid drum fo pussy boy yeer,1
5318,get loredo steak dat bitch u ballin,1
5319,nigga stop hatin bitches feelin coolio b u think dem bitch made niggas got yo back u smokin big worm shit,1
5320,pussy,1
5321,erbody bitch,1
5322,go sleep niggah lol,1
5323,chill pussy,1
5324,story lol missed faggot,1
5325,hoes extra sensitive text swear hear tone letter start using,1
5326,zakbauer dont problems zak seem faggot,0
5327,saves brownie,2
5328,dont tell dumb hoes,1
5329,absolutely speechlessthat bitch,1
